date,Approving,Disapproving,Unsure/NoData,party
2009-01-09,34.0,61.0,5.0,R
2009-01-10,34.0,61.0,5.0,R
2009-01-11,34.0,61.0,5.0,R
2008-12-12,29.0,67.0,4.0,R
2008-12-13,29.0,67.0,4.0,R
2008-12-14,29.0,67.0,4.0,R
2008-12-04,32.0,61.0,7.0,R
2008-12-05,32.0,61.0,7.0,R
2008-12-06,32.0,61.0,7.0,R
2008-12-07,32.0,61.0,7.0,R
2008-11-13,29.0,66.0,5.0,R
2008-11-14,29.0,66.0,5.0,R
2008-11-15,29.0,66.0,5.0,R
2008-11-16,29.0,66.0,5.0,R
2008-11-07,28.0,68.0,4.0,R
2008-11-08,28.0,68.0,4.0,R
2008-11-09,28.0,68.0,4.0,R
2008-10-31,25.0,70.0,5.0,R
2008-11-01,25.0,70.0,5.0,R
2008-11-02,25.0,70.0,5.0,R
2008-10-23,31.0,66.0,3.0,R
2008-10-24,31.0,66.0,3.0,R
2008-10-25,31.0,66.0,3.0,R
2008-10-26,31.0,66.0,3.0,R
2008-10-10,25.0,71.0,4.0,R
2008-10-11,25.0,71.0,4.0,R
2008-10-12,25.0,71.0,4.0,R
2008-10-03,25.0,70.0,5.0,R
2008-10-04,25.0,70.0,5.0,R
2008-10-05,25.0,70.0,5.0,R
2008-09-26,27.0,69.0,4.0,R
2008-09-27,27.0,69.0,4.0,R
2008-09-08,31.0,65.0,4.0,R
2008-09-09,31.0,65.0,4.0,R
2008-09-10,31.0,65.0,4.0,R
2008-09-11,31.0,65.0,4.0,R
2008-09-05,33.0,64.0,3.0,R
2008-09-06,33.0,64.0,3.0,R
2008-09-07,33.0,64.0,3.0,R
2008-08-21,29.0,66.0,5.0,R
2008-08-22,29.0,66.0,5.0,R
2008-08-23,29.0,66.0,5.0,R
2008-08-07,33.0,61.0,6.0,R
2008-08-08,33.0,61.0,6.0,R
2008-08-09,33.0,61.0,6.0,R
2008-08-10,33.0,61.0,6.0,R
2008-07-25,32.0,65.0,3.0,R
2008-07-26,32.0,65.0,3.0,R
2008-07-27,32.0,65.0,3.0,R
2008-07-10,31.0,61.0,8.0,R
2008-07-11,31.0,61.0,8.0,R
2008-07-12,31.0,61.0,8.0,R
2008-07-13,31.0,61.0,8.0,R
2008-06-15,28.0,68.0,4.0,R
2008-06-16,28.0,68.0,4.0,R
2008-06-17,28.0,68.0,4.0,R
2008-06-18,28.0,68.0,4.0,R
